,account,0x98Afac3b663113D29dc2Cd8C2d1d14793692F110,mvs_transfer_in,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x55d398326f99059ff775485246999027b3197955,0xba2ae424d960c26247dd6c32edc70b295c744c43,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,external_approve,liquidity_method
40,0xe853e7e098f26e03e1a35554033e2ea83063ea06,0,0,-62010081366396130283,0,0,0,False,False
41,0xc4f1a555e3becad1e0cb067e648e69c802ef1bd2,302531974746354132954809,0,-1035101636391205957933,0,0,0,False,False
42,0x23d45cc271e113cb20aafb6157732302732bffa7,0,0,27425405837345891855,0,0,0,False,False
43,0x17660a9a3fe5b678f41cc81e9a26c951c7b6f100,0,0,-69573198829896005346,0,0,0,False,False
44,0x71a4c9e0cb8295eb0417aeff125dd1a480ae7765,250000000000000000000,0,-1639405991575117477,0,0,0,False,False
45,0x7d57f6a47804c7cf683d996795e8ae73ff089930,197569276679828843357099,0,-249855791164471607185,0,0,0,False,False
46,0xea9a6c7b59b6af1d71aed1b2357879c6e8bfd641,44599316737536459554744,-44599316737536459554744,-54562192893489967244,0,0,0,False,False
47,0xe1de71711c341bd705eb4864a009abab290d6997,0,0,2111992469366293078676,0,0,0,False,False
48,0x489e35bf5ac7792085338f7a842db2cde075b9ca,51206753920057328323664,0,1092074508380606706479,0,0,0,False,False
49,0xaa877109eca3e8084d096abbbba777920cff2de0,0,0,0,0,0,0,True,False
50,0x1c7e3932f53a14c2426a05f9973f6535901ab64b,0,0,598426317405419464513,0,0,0,False,False
51,0x27b9a340b479de6d9b6a5da2b020b26be45240d8,5446032776658804957559,-5446032776658804957559,-14865715441721012153,0,0,0,False,False
52,0xf079f43ee88620707a2eb36f7a30f11838428b1d,0,0,21026356859952896112,0,0,0,False,False
53,0x7a0d53585f763006fee0685f0943054863df25e0,0,0,-359542783073134849212,0,0,0,False,False
54,0xd9c42671fb08a402dacc36ed3b405cf56d00e754,0,0,218944812588739404758,0,0,0,False,False
55,0x6666095b8ce7955d7f8774e7312a1cf861688888,0,0,-34857193196011336261,0,0,0,False,False
56,0xa2aff76e2a3c1057dcae0635db5ab1bc14e73219,0,0,-1086349632736854629,0,0,0,False,False
57,0xe29d167184d455bbb516c90b4fd28492aace054d,0,0,-4186306363920282821,0,0,0,False,False
58,0x8bf2d4d9fcd11390cf5a79516a208ab642add7b0,0,0,40492073757856021514,0,0,0,False,False
59,0xa557512d9d03055871960ae1f38ae96e510b311e,0,0,37696526620304418666,0,0,0,False,False
60,0x3229bcb0a6de0cc55c52366d48d9d87bfb9aacf6,15857457718451386553481,0,-51545242489802981926,0,0,0,False,False
61,0x931c4c626e6c248513167bafacb1e2612ffbea28,0,0,0,0,0,0,True,False
62,0x2e5862d5f90473a9f25242ff0c6acf7280d58598,0,0,-31029435231002113589,0,0,0,False,False
63,0xe16fd2c1abda41a2bfd10a596adc4d4e012ddb0b,380775304520744800168539,0,-320205400873858473899,0,0,0,False,False
64,0x6f5a6e88336ae627203a181af0482b6dac888888,-149401863623665021006269,149401863623665021006269,113188340580533288916,0,0,0,False,False
65,0x8eb88b787fee60f8bfdc617e3ba4685c8b63e15e,915736469662958445221594,378249823785991791529180,-12840940068959065823075,0,0,10000000000000000,False,False
66,0x8675e397dd476bbbf496c1ed3e109ce8287a3ede,73708857112319960516013,0,-185881470742452067836,0,0,0,False,False
67,0x48211f42b697c5eb3889c9dd86c041f0e2125c7e,0,0,4108259372647575471,0,0,0,False,False
68,0x5a105c131506706a36cc105488d911879004983d,0,0,9887589248709448958,0,0,0,False,False
69,0x1674bfbd749b4428b7a6c749151d48f82ac6dbbd,1054761035649237703041,0,-3000000000000000000,0,0,0,False,False
70,0x2e20bb19912bf87d1b2c9d5ff99c96e9b7a28668,0,0,-8444707667687994005,0,0,0,False,False
71,0x3af5e28f640db0807d75abf2d27b403fd398caac,0,0,0,0,0,0,True,False
72,0xef0d9de25b94b38b389b54fe1475e140ba7f7c73,602502803373849109776,0,-4378434509827055386,-598000000000000000000,0,0,False,False
73,0x4c9d7aac64ef0c79df25fe1c5e1cf543f53fbbd8,98974704734056197916351,-98974704734056197916351,-164220263519142254181,0,0,0,False,False
74,0x3ba28b499182686a9af185f9edda33833bf563a9,0,0,-49217428091678170145,0,0,-14253315429816722,False,False
75,0x39716d48a0c1818ba0b4771b36cdd64ff757a215,0,0,-211791342160904498050,0,0,0,False,False
76,0x12e0037533fb45cd6556ac0f76d6dd4ed78e8a6e,20000000000000000000000,0,-25027455531485311091,0,0,0,False,False
77,0x44142a5481760a8940d18ff3615edfd56f745523,0,0,561660809075096391621,0,0,0,False,False
78,0xaed6cc3bc8553da55528b70cd6b0060bddfa7bd7,0,0,259620240125482871749,0,0,0,False,False
79,0x750bef5bb5415047e411c065aec291bfcec23218,-2102427784591674447608,2102427784591674447608,274201616628158430964,0,0,0,False,False
80,0xc9862cef25cdfe4d7934cf9cde35fe723fe55f31,-94972382594026039300824,95072796476281678464463,1196336116376890376426,-100000000000000000000,0,0,False,False
81,0xb55707b0548bcb199d43a05eab09affc8924b4c7,0,0,-115530434963587243591,0,0,0,False,False
82,0x4bc60d4a8bcd7114af736cc989d1401e9124db2b,8189687190348532161322489,8275484725420928262513668,-41461849641854548762350,0,0,0,False,False
83,0x386fa3aeb5b6537f86287508f31cab299143b2aa,0,0,0,0,0,0,True,False
84,0xa4bb41f649c545d5394607f973b6e54febe8aa5a,0,0,-1671441374346390596,0,0,0,False,False
85,0x8724ccd98ff3bd9da7e8aaf96e0e03f327e636a4,0,0,9020568093995665121,0,0,0,False,False
86,0xd520679e0c614ae8c84b87f041f09ce4492e9191,0,0,-4357590978940028335,0,0,0,False,False
87,0xd4ba2990e3b13c3244d3caff0fc35f5536f33305,0,556555000000000000000,0,0,0,0,False,False
88,0x74e7286066338002f646885b4a44642834a48262,0,0,7479987803304952215,0,0,0,False,False
89,0x024662f6c8e8329a83b840412941b2b41b799bc9,29384263197131233229351,0,-198514914118684673778,0,0,0,False,False
90,0x9bb47ba760f4f05045302714531bdd3e69dc58ac,0,0,40707721888035522517,0,0,0,False,False
91,0x1d59a6b5934f565248470874fda9be371a6eb705,73193624545713127301593,0,-67386762023824324258,0,0,0,False,False
92,0x842fc2bff65ff9042fee72cf3e10150b18b66bd4,0,0,23382740268370752866,0,0,0,False,False
93,0x38ac30eeab62a4add40230900942a8b72067c3f7,178215881735576332035258,0,-177988577488842244739,0,0,0,False,False
94,0xa50049d8a54a3e4aec696590667a016e55d243c5,1425048626180528257051483,-225048626180528257051483,-6096977788546898035409,0,0,0,False,False
95,0xedb7aff9b2c7ba5f7a776269cd836faafddde9ba,300000000000000000000000,-300000000000000000000000,-388658313121592235950,0,0,0,False,False
96,0x62d9d4a9f0c1477866c3e05b57f05d3f3d07c045,0,0,-181154405366329347843,0,0,0,False,False
97,0xeb6b8d3e5466a03a1fa2075b1ef1bc49422fc94a,1000000000000000000000,0,-1401403915965422340,0,0,0,False,False
